"diagnosis_code","diagnosis_description"
"C50.411","Malignant neoplasm of upper-outer quadrant of right female breast"
"C85.90","Non-Hodgkin lymphoma, unspecified, unspecified site"
"C83.30","Diffuse large B-cell lymphoma, unspecified site"
"Z85.72","Personal history of non-Hodgkin lymphomas"
"C34.00","Malignant neoplasm of unspecified main bronchus"
"C85.10","Unspecified B-cell lymphoma, unspecified site"
"E21.0","Primary hyperparathyroidism"
"C73","Malignant neoplasm of thyroid gland"
"C50.811","Malignant neoplasm of overlapping sites of right female breast"
"C91.90","Lymphoid leukemia, unspecified not having achieved remission"
"C84.68","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites"
"C84.60","Anaplastic large cell lymphoma, ALK-positive, unspecified site"
"C84.69","Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites"
"C85.93","Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
"C91.00","Acute lymphoblastic leukemia not having achieved remission"
"C84.65","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb"
"C83.33","Diffuse large B-cell lymphoma, intra-abdominal lymph nodes"
"C84.61","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck"
"C84.70","Anaplastic large cell lymphoma, ALK-negative, unspecified site"
"C84.62","Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes"
"C85.99","Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites"
"C84.71","Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck"
"C83.39","Diffuse large B-cell lymphoma, extranodal and solid organ sites"
"C83.00","Small cell B-cell lymphoma, unspecified site"
"C85.91","Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
"C85.98","Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
"C91.02","Acute lymphoblastic leukemia, in relapse"
"C91.01","Acute lymphoblastic leukemia, in remission"
"C83.50","Lymphoblastic (diffuse) lymphoma, unspecified site"
"C91.10","Chronic lymphocytic leukemia of B-cell type not having achieved remission"
"C83.59","Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites"
"C83.58","Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites"
"C95.90","Leukemia, unspecified not having achieved remission"
"C92.01","Acute myeloblastic leukemia, in remission"
"C92.02","Acute myeloblastic leukemia, in relapse"
"C85.19","Unspecified B-cell lymphoma, extranodal and solid organ sites"
"Q85.01","Neurofibromatosis, type 1"
"Q85.00","Neurofibromatosis, unspecified"
"Q85.02","Neurofibromatosis, type 2"
"Q85.09","Other neurofibromatosis"
"C92.10","Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission"
"C81.76","Other Hodgkin lymphoma, intrapelvic lymph nodes"
"C81.70","Other Hodgkin lymphoma, unspecified site"
"C81.75","Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
"C83.70","Burkitt lymphoma, unspecified site"
"C81.16","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes"
"C81.15","Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
"C81.95","Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
"C85.95","Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
"C81.00","Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site"
"C81.98","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
"C81.19","Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites"
"C81.10","Nodular sclerosis Hodgkin lymphoma, unspecified site"
"C81.79","Other Hodgkin lymphoma, extranodal and solid organ sites"
"C81.99","Hodgkin lymphoma, unspecified, extranodal and solid organ sites"
"C81.18","Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites"
"C71.9","Malignant neoplasm of brain, unspecified"
"C82.94","Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb"
"C81.11","Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck"
"C81.91","Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
"C64.9","Malignant neoplasm of unspecified kidney, except renal pelvis"
"D43.2","Neoplasm of uncertain behavior of brain, unspecified"
"D13.2","Benign neoplasm of duodenum"
"C50.011","Malignant neoplasm of nipple and areola, right female breast"
"C50.511","Malignant neoplasm of lower-outer quadrant of right female breast"
"C50.211","Malignant neoplasm of upper-inner quadrant of right female breast"
"D33.2","Benign neoplasm of brain, unspecified"
"C34.91","Malignant neoplasm of unspecified part of right bronchus or lung"
"C50.419","Malignant neoplasm of upper-outer quadrant of unspecified female breast"
"D11.9","Benign neoplasm of major salivary gland, unspecified"
"C64.1","Malignant neoplasm of right kidney, except renal pelvis"
"C83.31","Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck"
"C85.11","Unspecified B-cell lymphoma, lymph nodes of head, face, and neck"
"C83.71","Burkitt lymphoma, lymph nodes of head, face, and neck"
"C82.91","Follicular lymphoma, unspecified, lymph nodes of head, face, and neck"
"C83.73","Burkitt lymphoma, intra-abdominal lymph nodes"
"C82.90","Follicular lymphoma, unspecified, unspecified site"
"C50.111","Malignant neoplasm of central portion of right female breast"
"C50.212","Malignant neoplasm of upper-inner quadrant of left female breast"
"D44.6","Neoplasm of uncertain behavior of carotid body"
"C92.90","Myeloid leukemia, unspecified, not having achieved remission"
"C95.91","Leukemia, unspecified, in remission"
"C92.40","Acute promyelocytic leukemia, not having achieved remission"
"C75.5","Malignant neoplasm of aortic body and other paraganglia"
"C74.10","Malignant neoplasm of medulla of unspecified adrenal gland"
"C75.4","Malignant neoplasm of carotid body"
"C74.12","Malignant neoplasm of medulla of left adrenal gland"
"C34.92","Malignant neoplasm of unspecified part of left bronchus or lung"
"C50.512","Malignant neoplasm of lower-outer quadrant of left female breast"
"C50.612","Malignant neoplasm of axillary tail of left female breast"
"C71.6","Malignant neoplasm of cerebellum"
"C81.78","Other Hodgkin lymphoma, lymph nodes of multiple sites"
"C81.94","Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb"
"C81.08","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites"
"C81.74","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb"
"C34.11","Malignant neoplasm of upper lobe, right bronchus or lung"
"C92.00","Acute myeloblastic leukemia, not having achieved remission"
"C92.A1","Acute myeloid leukemia with multilineage dysplasia, in remission"
"C92.A2","Acute myeloid leukemia with multilineage dysplasia, in relapse"
"C92.Z2","Other myeloid leukemia, in relapse"
"C34.31","Malignant neoplasm of lower lobe, right bronchus or lung"
"C91.11","Chronic lymphocytic leukemia of B-cell type in remission"
"C81.92","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
"C95.01","Acute leukemia of unspecified cell type, in remission"
"C94.80","Other specified leukemias not having achieved remission"
"C83.38","Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
"C95.00","Acute leukemia of unspecified cell type not having achieved remission"
"C30.0","Malignant neoplasm of nasal cavity"
"C81.21","Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck"
"C81.22","Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes"
"C81.72","Other Hodgkin lymphoma, intrathoracic lymph nodes"
"C81.02","Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes"
"C71.0","Malignant neoplasm of cerebrum, except lobes and ventricles"
"C34.02","Malignant neoplasm of left main bronchus"
"C83.79","Burkitt lymphoma, extranodal and solid organ sites"
"C83.78","Burkitt lymphoma, lymph nodes of multiple sites"
"C83.76","Burkitt lymphoma, intrapelvic lymph nodes"
"C83.72","Burkitt lymphoma, intrathoracic lymph nodes"
"C91.52","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse"
"C83.52","Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes"
"C83.32","Diffuse large B-cell lymphoma, intrathoracic lymph nodes"
"C91.50","Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission"
"C91.51","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission"
"C83.36","Diffuse large B-cell lymphoma, intrapelvic lymph nodes"
"C82.99","Follicular lymphoma, unspecified, extranodal and solid organ sites"
"C83.35","Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb"
"C82.98","Follicular lymphoma, unspecified, lymph nodes of multiple sites"
"C82.97","Follicular lymphoma, unspecified, spleen"
"C7A.090","Malignant carcinoid tumor of the bronchus and lung"
"C34.2","Malignant neoplasm of middle lobe, bronchus or lung"
"C91.Z0","Other lymphoid leukemia not having achieved remission"
"C92.41","Acute promyelocytic leukemia, in remission"
"C93.01","Acute monoblastic/monocytic leukemia, in remission"
"C93.00","Acute monoblastic/monocytic leukemia, not having achieved remission"
"C92.A0","Acute myeloid leukemia with multilineage dysplasia, not having achieved remission"
"C92.50","Acute myelomonocytic leukemia, not having achieved remission"
"C94.00","Acute erythroid leukemia, not having achieved remission"
"C81.05","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
"C81.04","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb"
"C81.42","Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes"
"646.93","Unspecified complication of pregnancy, antepartum condition or complication"
"648.91","Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition"
"646.63","Infections of genitourinary tract in pregnancy, antepartum condition or complication"
"664.01","First-degree perineal laceration, delivered, with or without mention of antepartum condition"
"654.43","Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication"
"648.93","Other current conditions classifiable elsewhere of mother, antepartum condition or complication"
"646.83","Other specified complications of pregnancy, antepartum condition or complication"
"660.41","Shoulder (girdle) dystocia, delivered, with or without mention of antepartum condition"
"643.93","Unspecified vomiting of pregnancy, antepartum condition or complication"
"664.81","Other specified trauma to perineum and vulva, delivered, with or without mention of antepartum condition"
"642.73","Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, antepartum condition or complication"
"659.63","Elderly multigravida, antepartum condition or complication"
"642.74","Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication"
"644.21","Early onset of delivery, delivered, with or without mention of antepartum condition"
"642","Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
"659.61","Elderly multigravida, delivered with or without mention of antepartum condition"
"642.9","Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"659.6","Elderly multigravida, unspecified as to episode of care or not applicable"
"652.21","Breech presentation without mention of version, delivered, with or without mention of antepartum condition"
"642.71","Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition"
"642.42","Mild or unspecified pre-eclampsia, delivered, with mention of postpartum complication"
"659.71","Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition"
"655.93","Unspecified suspected fetal abnormality, affecting management of mother, antepartum condition or complication"
"659.51","Elderly primigravida, delivered, with or without mention of antepartum condition"
"659.53","Elderly primigravida, antepartum condition or complication"
"648.11","Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition"
"661.01","Primary uterine inertia, delivered, with or without mention of antepartum condition"
"656.7","Other placental conditions, affecting management of mother, unspecified as to episode of care or not applicable"
"648.13","Thyroid dysfunction of mother, antepartum condition or complication"
"654.91","Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition"
"661.11","Secondary uterine inertia, delivered, with or without mention of antepartum condition"
"655.81","Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, delivered, with or without mention of antepartum condition"
"646.8","Other specified complications of pregnancy, unspecified as to episode of care or not applicable"
"646.64","Infections of genitourinary tract in pregnancy, postpartum condition or complication"
"644.13","Other threatened labor, antepartum condition or complication"
"663.21","Other and unspecified cord entanglement, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
"651.03","Twin pregnancy, antepartum condition or complication"
"647.83","Other specified infectious and parasitic diseases of mother, antepartum condition or complication"
"646.73","Liver disorders in pregnancy, antepartum condition or complication"
"644.03","Threatened premature labor, antepartum condition or complication"
"656.81","Other specified fetal and placental problems, affecting management of mother, delivered, with or without mention of antepartum condition"
"656.53","Poor fetal growth, affecting management of mother, antepartum condition or complication"
"647.63","Other viral diseases in the mother, antepartum condition or complication"
"647.61","Other viral diseases in the mother, delivered, with or without mention of antepartum condition"
"659.41","Grand multiparity, delivered, with or without mention of antepartum condition"
"649.13","Obesity complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"659.43","Grand multiparity, antepartum condition or complication"
"669.11","Shock during or following labor and delivery, delivered, with or without mention of antepartum condition"
"665.81","Other specified obstetrical trauma, delivered, with or without mention of antepartum condition"
"654.21","Previous cesarean delivery, delivered, with or without mention of antepartum condition"
"649.63","Uterine size date discrepancy, antepartum condition or complication"
"657.03","Polyhydramnios, antepartum condition or complication"
"647.9","Unspecified infection or infestation of mother, unspecified as to episode of care or not applicable"
"669.42","Other complications of obstetrical surgery and procedures, delivered, with mention of postpartum complication"
"642.33","Transient hypertension of pregnancy, antepartum condition or complication"
"654.9","Other and unspecified abnormality of organs and soft tissues of pelvis, unspecified as to episode of care or not applicable"
"648.83","Abnormal glucose tolerance of mother, antepartum condition or complication"
"654.11","Tumors of body of uterus, delivered, with or without mention of antepartum condition"
"642.93","Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"648.8","Abnormal glucose tolerance of mother, unspecified as to episode of care or not applicable"
"642.03","Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
"648.81","Abnormal glucose tolerance of mother, delivered, with or without mention of antepartum condition"
"648.9","Other current conditions classifiable elsewhere of mother, unspecified as to episode of care or not applicable"
"654.23","Previous cesarean delivery, antepartum condition or complication"
"654.2","Previous cesarean delivery, unspecified as to episode of care or not applicable"
"642.01","Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
"659.93","Unspecified indication for care or intervention related to labor and delivery, antepartum condition or complication"
"648.1","Thyroid dysfunction of mother, unspecified as to episode of care or not applicable"
"648.23","Anemia of mother, antepartum condition or complication"
"648.22","Anemia of mother, delivered, with mention of postpartum complication"
"646.81","Other specified complications of pregnancy, delivered, with or without mention of antepartum condition"
"656.83","Other specified fetal and placental problems, affecting management of mother, antepartum condition or complication"
"656.63","Excessive fetal growth, affecting management of mother, antepartum condition or complication"
"654.93","Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication"
"648.21","Anemia of mother, delivered, with or without mention of antepartum condition"
"649.11","Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"644","Threatened premature labor, unspecified as to episode of care or not applicable"
"654.41","Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition"
"648","Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"655.73","Decreased fetal movements, affecting management of mother, antepartum condition or complication"
"675.03","Infections of nipple associated with childbirth, antepartum condition or complication"
"643.9","Unspecified vomiting of pregnancy, unspecified as to episode of care or not applicable"
"657","Polyhydramnios, unspecified as to episode of care or not applicable"
"648.43","Mental disorders of mother, antepartum condition or complication"
"657.01","Polyhydramnios, delivered, with or without mention of antepartum condition"
"663.01","Prolapse of cord complicating labor and delivery, delivered, with or without mention of antepartum condition"
"648.41","Mental disorders of mother, delivered, with or without mention of antepartum condition"
"648.03","Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"632","Missed abortion"
"646.13","Edema or excessive weight gain in pregnancy, without mention of hypertension, antepartum condition or complication"
"652.81","Other specified malposition or malpresentation, delivered, with or without mention of antepartum condition"
"649.53","Spotting complicating pregnancy, antepartum condition or complication"
"650","Normal delivery"
"664.11","Second-degree perineal laceration, delivered, with or without mention of antepartum condition"
"666.24","Delayed and secondary postpartum hemorrhage, postpartum condition or complication"
"634.92","Spontaneous abortion, without mention of complication, complete"
"676.34","Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication"
"667.02","Retained placenta without hemorrhage, delivered, with mention of postpartum complication"
"646.84","Other specified complications of pregnancy, postpartum condition or complication"
"637.92","Unspecified abortion, without mention of complication, complete"
"634.9","Spontaneous abortion, without mention of complication, unspecified"
"763.1","Other malpresentation, malposition, and disproportion during labor and delivery affecting fetus or newborn"
"645.11","Post term pregnancy, delivered, with or without mention of antepartum condition"
"655.23","Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication"
"640.03","Threatened abortion, antepartum condition or complication"
"656.61","Excessive fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition"
"663.31","Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
"669.71","Cesarean delivery, without mention of indication, delivered, with or without mention of antepartum condition"
"651.01","Twin pregnancy, delivered, with or without mention of antepartum condition"
"651","Twin pregnancy, unspecified as to episode of care or not applicable"
"656.71","Other placental conditions, affecting management of mother, delivered, with or without mention of antepartum condition"
"669.7","Cesarean delivery, without mention of indication, unspecified as to episode of care or not applicable"
"658.41","Infection of amniotic cavity, delivered, with or without mention of antepartum condition"
"643.03","Mild hyperemesis gravidarum, antepartum condition or complication"
"649.04","Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
"649.43","Epilepsy complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"649.41","Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"646.9","Unspecified complication of pregnancy, unspecified as to episode of care or not applicable"
"648.94","Other current conditions classifiable elsewhere of mother, postpartum condition or complication"
"646.6","Infections of genitourinary tract in pregnancy, unspecified as to episode of care or not applicable"
"642.31","Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition"
"649.01","Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"642.3","Transient hypertension of pregnancy, unspecified as to episode of care or not applicable"
"649.03","Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"646.31","Recurrent pregnancy loss, delivered, with or without mention of antepartum condition"
"659.73","Abnormality in fetal heart rate or rhythm, antepartum condition or complication"
"648.4","Mental disorders of mother, unspecified as to episode of care or not applicable"
"648.53","Congenital cardiovascular disorders of mother, antepartum condition or complication"
"641.93","Unspecified antepartum hemorrhage, antepartum condition or complication"
"642.41","Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition"
"644.2","Early onset of delivery, unspecified as to episode of care or not applicable"
"658.21","Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition"
"658.1","Premature rupture of membranes, unspecified as to episode of care or not applicable"
"641.21","Premature separation of placenta, delivered, with or without mention of antepartum condition"
"641.2","Premature separation of placenta, unspecified as to episode of care or not applicable"
"666.12","Other immediate postpartum hemorrhage, delivered, with mention of postpartum complication"
"660.61","Unspecified failed trial of labor, delivered, with or without mention of antepartum condition"
"658.4","Infection of amniotic cavity, unspecified as to episode of care or not applicable"
"656.8","Other specified fetal and placental problems, affecting management of mother, unspecified as to episode of care or not applicable"
"663.9","Unspecified umbilical cord complication complicating labor and delivery, unspecified as to episode of care or not applicable"
"648.71","Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with or without mention of antepartum condition"
"648.01","Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"656.3","Fetal distress, affecting management of mother, unspecified as to episode of care or not applicable"
"644.1","Other threatened labor, unspecified as to episode of care or not applicable"
"658.43","Infection of amniotic cavity, antepartum condition or complication"
"643.21","Late vomiting of pregnancy, delivered, with or without mention of antepartum condition"
"642.43","Mild or unspecified pre-eclampsia, antepartum condition or complication"
"669.81","Other complications of labor and delivery, delivered, with or without mention of antepartum condition"
"641.81","Other antepartum hemorrhage, delivered, with or without mention of antepartum condition"
"642.91","Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"659.7","Abnormality in fetal heart rate or rhythm, unspecified as to episode of care or not applicable"
"646.71","Liver disorders in pregnancy, delivered, with or without mention of antepartum condition"
"651.93","Unspecified multiple gestation, antepartum condition or complication"
"656.13","Rhesus isoimmunization, antepartum condition or complication"
"640.9","Unspecified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable"
"637.91","Unspecified abortion, without mention of complication, incomplete"
"634.91","Spontaneous abortion, without mention of complication, incomplete"
"674.82","Other complications of puerperium, delivered, with mention of postpartum complication"
"654.53","Cervical incompetence, antepartum condition or complication"
"676.5","Suppressed lactation, unspecified as to episode of care or not applicable"
"647.51","Rubella in the mother, delivered, with or without mention of antepartum condition"
"646.61","Infections of genitourinary tract in pregnancy, delivered, with or without mention of antepartum condition"
"654.61","Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition"
"676.9","Unspecified disorder of lactation, unspecified as to episode of care or not applicable"
"676.54","Suppressed lactation, postpartum condition or complication"
"640.93","Unspecified hemorrhage in early pregnancy, antepartum condition or complication"
"661.31","Precipitate labor, delivered, with or without mention of antepartum condition"
"642.7","Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, unspecified as to episode of care or not applicable"
"642.4","Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable"
"655.83","Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication"
"645.21","Prolonged pregnancy, delivered, with or without mention of antepartum condition"
"645.23","Prolonged pregnancy, antepartum condition or complication"
"658.01","Oligohydramnios, delivered, with or without mention of antepartum condition"
"642.51","Severe pre-eclampsia, delivered, with or without mention of antepartum condition"
"642.23","Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
"642.53","Severe pre-eclampsia, antepartum condition or complication"
"670.8","Other major puerperal infection, unspecified as to episode of care or not applicable"
